SKU,Region,Quota
Bsv2 Series,Sweden Central,100
Bsv2 Series,Norway East,0
Bsv2 Series,Germany West Central,0
Bsv2 Series,Switzerland North,0
Bsv2 Series,South Africa North,0
Bsv2 Series,France Central (FC),0
Bsv2 Series,Korea Central (KC),0
Bsv2 Series,UK South (UKS),0
Bsv2 Series,Canada Central (CC),0
Bsv2 Series,India Central (IC),0
Bsv2 Series,Australia East (SYD),0
Bsv2 Series,Asia East (EA),0
Bsv2 Series,Asia Southeast (SEA),0
Bsv2 Series,Australia Central,0
Bsv2 Series,Australia Southeast (MEL),0
Bsv2 Series,Europe North (NE),0
Bsv2 Series,Europe West (WE),0
Bsv2 Series,India South (IS),0
Bsv2 Series,Israel Central,0
Bsv2 Series,Italy North,0
Bsv2 Series,Japan West (WJ),0
Bsv2 Series,Mexico Central,0
Bsv2 Series,New Zealand North,0
Bsv2 Series,Poland Central,0
Bsv2 Series,Spain Central,0
Bsv2 Series,UK West (UKW),0
Bsv2 Series,Korea South (KS),0
ESV4 Series,Sweden Central,0
ESV4 Series,Norway East,0
ESV4 Series,Germany West Central,0
ESV4 Series,Switzerland North,0
ESV4 Series,South Africa North,0
ESV4 Series,France Central (FC),0
ESV4 Series,Korea Central (KC),0
ESV4 Series,UK South (UKS),0
ESV4 Series,Canada Central (CC),0
ESV4 Series,India Central (IC),0
ESV4 Series,Brazil South (SB),0
ESV4 Series,Australia East (SYD),0
ESV4 Series,Asia East (EA),0
ESV4 Series,Asia Southeast (SEA),0
ESV4 Series,Australia Central,0
ESV4 Series,Australia Southeast (MEL),0
ESV4 Series,Europe North (NE),0
ESV4 Series,Europe West (WE),0
ESV4 Series,India South (IS),0
ESV4 Series,Israel Central,0
ESV4 Series,Italy North,0
ESV4 Series,Japan East (EJ),0
ESV4 Series,Japan West (WJ),0
ESV4 Series,Mexico Central,0
ESV4 Series,New Zealand North,0
ESV4 Series,Poland Central,0
ESV4 Series,Spain Central,0
ESV4 Series,UK West (UKW),0
Esv5 Series,Sweden Central,0
Esv5 Series,Norway East,0
Esv5 Series,Germany West Central,0
Esv5 Series,Switzerland North,0
Esv5 Series,South Africa North,0
Esv5 Series,France Central (FC),0
Esv5 Series,Korea Central (KC),0
Esv5 Series,UK South (UKS),0
Esv5 Series,Canada Central (CC),0
Esv5 Series,India Central (IC),0
Esv5 Series,Australia East (SYD),0
Esv5 Series,Asia East (EA),0
Esv5 Series,Asia Southeast (SEA),0
Esv5 Series,Australia Central,0
Esv5 Series,Australia Southeast (MEL),0
Esv5 Series,Europe North (NE),0
Esv5 Series,Europe West (WE),0
Esv5 Series,India South (IS),0
Esv5 Series,Italy North,0
Esv5 Series,Japan West (WJ),0
Esv5 Series,Mexico Central,0
Esv5 Series,New Zealand North,0
Esv5 Series,Poland Central,0
Esv5 Series,Spain Central,0
Esv5 Series,UK West (UKW),0
Esv5 Series,Korea South (KS),0
EV4 series,Australia Southeast (MEL),0
EV4 series,Europe North (NE),0
EV4 series,Europe West (WE),0
Ev5 Series,Asia East (EA),0
Ev5 Series,Asia Southeast (SEA),0
Ev5 Series,Australia Southeast (MEL),0
Ev5 Series,Europe North (NE),0
Ev5 Series,Europe West (WE),0
Ev5 Series,India South (IS),0
Ev5 Series,Spain Central,0
FSv2 Series,Sweden Central,0
FSv2 Series,Norway East,0
FSv2 Series,Germany West Central,0
FSv2 Series,Switzerland North,0
FSv2 Series,South Africa North,0
FSv2 Series,France Central (FC),0
FSv2 Series,Korea Central (KC),0
FSv2 Series,UK South (UKS),0
FSv2 Series,Canada Central (CC),0
FSv2 Series,India Central (IC),0
FSv2 Series,Brazil South (SB),0
FSv2 Series,Australia East (SYD),0
FSv2 Series,Asia East (EA),0
FSv2 Series,Asia Southeast (SEA),0
FSv2 Series,Australia Central,0
FSv2 Series,Australia Southeast (MEL),0
FSv2 Series,Europe North (NE),0
FSv2 Series,Europe West (WE),0
FSv2 Series,India South (IS),0
FSv2 Series,Israel Central,0
FSv2 Series,Italy North,0
FSv2 Series,Japan East (EJ),0
FSv2 Series,Japan West (WJ),0
FSv2 Series,Mexico Central,0
FSv2 Series,New Zealand North,0
FSv2 Series,Poland Central,0
FSv2 Series,Spain Central,0
FSv2 Series,UK West (UKW),0
